system:index,average_surface_temp,date,satellite,.geo
1_1_1_2_LT05_018031_19930724,212.51974560965618,1993-07-24,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19930809,295.90308158,1993-08-09,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19930825,295.85864732,1993-08-25,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19930910,276.84420206,1993-09-10,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19931012,271.55994314,1993-10-12,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19931028,254.07335281999994,1993-10-28,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940116,256.61294168,1994-01-16,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940201,261.74680772,1994-02-01,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940217,269.93980166,1994-02-17,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940422,275.46674,1994-04-22,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940508,279.10009526,1994-05-08,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940524,239.08588382328898,1994-05-24,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940609,282.13871503999997,1994-06-09,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940711,293.29513232,1994-07-11,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940727,263.04223730000007,1994-07-27,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940812,286.51378064,1994-08-12,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940828,150.00147986,1994-08-28,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19940913,292.17743978,1994-09-13,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19941015,287.91175082,1994-10-15,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19941116,253.91356112100783,1994-11-16,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19941202,280.67238446,1994-12-02,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950103,254.04259064000001,1995-01-03,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950119,244.23287324000006,1995-01-19,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950220,257.2828736,1995-02-20,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950324,273.17324858,1995-03-24,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
